# Music Playlists Song Data
# Format: songName|identifier|param0|param1|base64target
The Ancient Prison|1|13|15663110|PGNvbD1mZjkwNDA+VGhlIEFuY2llbnQgUHJpc29uPC9jb2w+
Ambient Jungle|1|11|15663110|PGNvbD1mZjkwNDA+QW1iaWVudCBKdW5nbGU8L2NvbD4=
Alternative Root|1|9|15663110|PGNvbD1mZjkwNDA+QWx0ZXJuYXRpdmUgUm9vdDwvY29sPg==
Altar Ego|1|8|15663110|PGNvbD1mZjkwNDA+QWx0YXIgRWdvPC9jb2w+
Alone|1|7|15663110|PGNvbD1mZjkwNDA+QWxvbmU8L2NvbD4=
All's Fairy in Love & War|1|6|15663110|PGNvbD1mZjkwNDA+QWxsJ3MgRmFpcnkgaW4gTG92ZSAmIFdhcjwvY29sPg==
Alchemical Attack!|1|5|15663110|PGNvbD1mZjkwNDA+QWxjaGVtaWNhbCBBdHRhY2shPC9jb2w+
Al Kharid|1|4|15663110|PGNvbD1mZjkwNDA+QWwgS2hhcmlkPC9jb2w+
Adventure|1|3|15663110|PGNvbD1mZjkwNDA+QWR2ZW50dXJlPC9jb2w+
7th Realm|1|1|15663110|PGNvbD1mZjkwNDA+N3RoIFJlYWxtPC9jb2w+
Amascut's Promise|1|625|15663110|PGNvbD1mZjkwNDA+QW1hc2N1dCdzIFByb21pc2U8L2NvbD4=
The Angel's Fury|1|582|15663110|PGNvbD1mZjkwNDA+VGhlIEFuZ2VsJ3MgRnVyeTwvY29sPg==
Ape-ex Predator|1|623|15663110|PGNvbD1mZjkwNDA+QXBlLWV4IFByZWRhdG9yPC9jb2w+
Arabian 3|1|17|15663110|PGNvbD1mZjkwNDA+QXJhYmlhbiAzPC9jb2w+
Arboretum|1|20|15663110|PGNvbD1mZjkwNDA+QXJib3JldHVtPC9jb2w+
Are You Not Entertained?|1|764|15663110|PGNvbD1mZjkwNDA+QXJlIFlvdSBOb3QgRW50ZXJ0YWluZWQ/PC9jb2w+
Army of Darkness|1|25|15663110|PGNvbD1mZjkwNDA+QXJteSBvZiBEYXJrbmVzczwvY29sPg==
Ascent|1|28|15663110|PGNvbD1mZjkwNDA+QXNjZW50PC9jb2w+
Attack 2|1|31|15663110|PGNvbD1mZjkwNDA+QXR0YWNrIDI8L2NvbD4=
Attack 5|1|34|15663110|PGNvbD1mZjkwNDA+QXR0YWNrIDU8L2NvbD4=
Autumn Voyage|1|37|15663110|PGNvbD1mZjkwNDA+QXV0dW1uIFZveWFnZTwvY29sPg==
Aztec|1|39|15663110|PGNvbD1mZjkwNDA+QXp0ZWM8L2NvbD4=
Bait|1|42|15663110|PGNvbD1mZjkwNDA+QmFpdDwvY29sPg==
Bandit Camp|1|44|15663110|PGNvbD1mZjkwNDA+QmFuZGl0IENhbXA8L2NvbD4=
The Bane of Ashihama|1|425|15663110|PGNvbD1mZjkwNDA+VGhlIEJhbmUgb2YgQXNoaWhhbWE8L2NvbD4=
Barbarianism|1|48|15663110|PGNvbD1mZjkwNDA+QmFyYmFyaWFuaXNtPC9jb2w+
Barren Land|1|52|15663110|PGNvbD1mZjkwNDA+QmFycmVuIExhbmQ8L2NvbD4=
